date,ndvi,treatment,zone,post,did_term,month
2024-06-01,0.3659049830984115,0,galati,1,0,6
2024-07-01,0.3353256143883058,0,galati,1,0,7
2024-08-01,0.29103239087054417,0,galati,1,0,8
2024-09-01,0.37741398827175693,0,galati,1,0,9
2024-10-01,0.4387209578491185,0,galati,1,0,10
2024-11-01,0.4394788600257747,0,galati,1,0,11
2022-01-01,0.18255629665670062,0,constanta,0,0,1
2022-02-01,0.22410822114189657,0,constanta,0,0,2
2022-03-01,0.2635763846946035,0,constanta,0,0,3
2022-04-01,0.36994043489142836,0,constanta,0,0,4
2022-05-01,0.40583346710761464,0,constanta,0,0,5
2022-06-01,0.33211754394855414,0,constanta,0,0,6
2022-07-01,0.2472419578668006,0,constanta,0,0,7
2022-08-01,0.22444576817799564,0,constanta,0,0,8
2022-09-01,0.23405037019126404,0,constanta,0,0,9
2022-10-01,0.18895340548099243,0,constanta,0,0,10
2022-11-01,0.17659780703087627,0,constanta,0,0,11
2022-12-01,0.24488420955998502,0,constanta,0,0,12
2023-01-01,0.05938063501906467,0,constanta,0,0,1
2023-02-01,0.12986219445663347,0,constanta,0,0,2
2023-03-01,0.2740751126842758,0,constanta,0,0,3
2023-04-01,0.39044160820714485,0,constanta,0,0,4
2023-05-01,0.4167409111349135,0,constanta,0,0,5
2023-06-01,0.3115921060231075,0,constanta,1,0,6
2023-07-01,0.2923976962912225,0,constanta,1,0,7
2023-08-01,0.1477362431170271,0,constanta,1,0,8
2023-09-01,0.18920190975686701,0,constanta,1,0,9
2023-10-01,0.13995409891867,0,constanta,1,0,10
2023-11-01,0.1492857398004875,0,constanta,1,0,11
2023-12-01,0.17044398116320866,0,constanta,1,0,12
2024-01-01,0.06549647087694502,0,constanta,1,0,1
2024-02-01,0.17254681298865793,0,constanta,1,0,2
2024-03-01,0.29700589668863,0,constanta,1,0,3
2024-04-01,0.3953975417985866,0,constanta,1,0,4
2024-05-01,0.4723438909716223,0,constanta,1,0,5
2024-06-01,0.2659335201096592,0,constanta,1,0,6
2024-07-01,0.2424621569733972,0,constanta,1,0,7
2024-08-01,0.22297753010425084,0,constanta,1,0,8
2024-09-01,0.306848453032429,0,constanta,1,0,9
