date,gap,month,post
2022-01-01,-0.007387333654351735,1,0
2022-02-01,0.05839878035162249,2,0
2022-03-01,-0.011277165715261495,3,0
2022-04-01,-0.02489948254694624,4,0
2022-05-01,-0.00796965825049889,5,0
2022-06-01,-0.12470773591399037,6,0
2022-07-01,-0.13727031959490543,7,0
2022-08-01,-0.11567213735508208,8,0
2022-09-01,-0.12176295509510293,9,0
2022-10-01,0.04394329576869166,10,0
2022-11-01,0.10435697587307854,11,0
2022-12-01,0.028788742175458848,12,0
2023-01-01,0.11885485497039489,1,0
2023-02-01,0.17273441890400315,2,0
2023-03-01,0.10874718348483356,3,0
2023-04-01,-0.005642841979916879,4,0
2023-05-01,0.004826373349213153,5,0
2023-06-01,-0.08618898954576071,6,1
2023-07-01,-0.12701128800903394,7,1
2023-08-01,-0.10557466582797886,8,1
2023-09-01,-0.12132132115070604,9,1
2023-10-01,-0.07646701924323326,10,1
2023-11-01,-0.017626835458920853,11,1
2023-12-01,-0.015662398636910657,12,1
2024-01-01,0.09908946551643727,1,1
2024-02-01,0.09342987543216744,2,1
2024-03-01,0.07985611801793441,3,1
2024-04-01,0.07390980393909835,4,1
2024-05-01,-0.09595718891689253,5,1
2024-06-01,-0.1809366738752633,6,1
2024-07-01,-0.22531810814184297,7,1
2024-08-01,-0.21018176416268647,8,1
2024-09-01,-0.19381227673098306,9,1
2024-10-01,-0.13247256091011925,10,1
2024-11-01,-0.0137546451393048,11,1
